Size = 0, freq = 0, total vertices = 0
Size = 699, freq = 0, total vertices = 0
Size = 700, freq = 0, total vertices = 0
Size = 701, freq = 0, total vertices = 0
Size = 702, freq = 0, total vertices = 0
Size = 703, freq = 0, total vertices = 0
Size = 704, freq = 0, total vertices = 0
Size = 705, freq = 0, total vertices = 0
Size = 706, freq = 0, total vertices = 0
Size = 707, freq = 0, total vertices = 0
Size = 708, freq = 0, total vertices = 0
Size = 709, freq = 0, total vertices = 0
Size = 710, freq = 0, total vertices = 0
Size = 711, freq = 0, total vertices = 0
Size = 712, freq = 0, total vertices = 0
Size = 713, freq = 0, total vertices = 0
Size = 714, freq = 0, total vertices = 0
Size = 715, freq = 0, total vertices = 0
Size = 716, freq = 0, total vertices = 0
Size = 717, freq = 0, total vertices = 0
Size = 718, freq = 0, total vertices = 0
Size = 719, freq = 0, total vertices = 0
Size = 720, freq = 0, total vertices = 0
Size = 721, freq = 0, total vertices = 0
Size = 722, freq = 0, total vertices = 0
Size = 723, freq = 0, total vertices = 0
Size = 724, freq = 0, total vertices = 0
Size = 725, freq = 0, total vertices = 0
Size = 726, freq = 0, total vertices = 0
Size = 727, freq = 0, total vertices = 0
Size = 728, freq = 0, total vertices = 0
Size = 729, freq = 0, total vertices = 0
Size = 730, freq = 0, total vertices = 0
Size = 731, freq = 0, total vertices = 0
Size = 732, freq = 0, total vertices = 0
Size = 733, freq = 0, total vertices = 0
Size = 734, freq = 0, total vertices = 0
Size = 735, freq = 0, total vertices = 0
Size = 736, freq = 0, total vertices = 0
Size = 737, freq = 0, total vertices = 0
Size = 738, freq = 0, total vertices = 0
Size = 739, freq = 0, total vertices = 0
Size = 740, freq = 0, total vertices = 0
Size = 741, freq = 0, total vertices = 0
Size = 742, freq = 0, total vertices = 0
Size = 743, freq = 0, total vertices = 0
Size = 744, freq = 0, total vertices = 0
Size = 745, freq = 0, total vertices = 0
Size = 746, freq = 0, total vertices = 0
Size = 747, freq = 0, total vertices = 0
Size = 748, freq = 0, total vertices = 0
Size = 749, freq = 0, total vertices = 0
Size = 750, freq = 0, total vertices = 0
Size = 751, freq = 0, total vertices = 0
Size = 752, freq = 0, total vertices = 0
Size = 753, freq = 0, total vertices = 0
Size = 754, freq = 0, total vertices = 0
Size = 755, freq = 0, total vertices = 0
Size = 756, freq = 0, total vertices = 0
Size = 757, freq = 0, total vertices = 0
Size = 758, freq = 0, total vertices = 0
Size = 759, freq = 0, total vertices = 0
Size = 760, freq = 0, total vertices = 0
Size = 761, freq = 0, total vertices = 0
Size = 762, freq = 0, total vertices = 0
Size = 763, freq = 0, total vertices = 0
Size = 764, freq = 0, total vertices = 0
Size = 765, freq = 0, total vertices = 0
Size = 766, freq = 0, total vertices = 0
Size = 767, freq = 0, total vertices = 0
Size = 768, freq = 0, total vertices = 0
Size = 769, freq = 0, total vertices = 0
Size = 770, freq = 0, total vertices = 0
Size = 771, freq = 0, total vertices = 0
Size = 772, freq = 0, total vertices = 0
Size = 773, freq = 0, total vertices = 0
Size = 774, freq = 0, total vertices = 0
Size = 775, freq = 0, total vertices = 0
Size = 776, freq = 0, total vertices = 0
Size = 777, freq = 0, total vertices = 0
Size = 778, freq = 0, total vertices = 0
Size = 779, freq = 0, total vertices = 0
Size = 780, freq = 0, total vertices = 0
Size = 781, freq = 0, total vertices = 0
Size = 782, freq = 0, total vertices = 0
Size = 783, freq = 0, total vertices = 0
Size = 784, freq = 0, total vertices = 0
Size = 785, freq = 0, total vertices = 0
Size = 786, freq = 0, total vertices = 0
Size = 787, freq = 0, total vertices = 0
Size = 788, freq = 0, total vertices = 0
Size = 789, freq = 0, total vertices = 0
Size = 790, freq = 0, total vertices = 0
Size = 791, freq = 0, total vertices = 0
Size = 792, freq = 0, total vertices = 0
Size = 793, freq = 0, total vertices = 0
Size = 794, freq = 0, total vertices = 0
Size = 795, freq = 0, total vertices = 0
Size = 796, freq = 0, total vertices = 0
Size = 797, freq = 0, total vertices = 0
Size = 798, freq = 0, total vertices = 0
Size = 799, freq = 0, total vertices = 0
Size = 800, freq = 0, total vertices = 0
Size = 801, freq = 0, total vertices = 0
Size = 802, freq = 0, total vertices = 0
Size = 803, freq = 0, total vertices = 0
Size = 804, freq = 0, total vertices = 0
Size = 805, freq = 0, total vertices = 0
Size = 806, freq = 0, total vertices = 0
Size = 807, freq = 0, total vertices = 0
Size = 808, freq = 0, total vertices = 0
Size = 809, freq = 0, total vertices = 0
Size = 810, freq = 0, total vertices = 0
Size = 811, freq = 0, total vertices = 0
Size = 812, freq = 0, total vertices = 0
Size = 813, freq = 0, total vertices = 0
Size = 814, freq = 0, total vertices = 0
Size = 815, freq = 0, total vertices = 0
Size = 816, freq = 0, total vertices = 0
Size = 817, freq = 0, total vertices = 0
Size = 818, freq = 0, total vertices = 0
Size = 819, freq = 0, total vertices = 0
Size = 820, freq = 0, total vertices = 0
Size = 821, freq = 0, total vertices = 0
Size = 822, freq = 0, total vertices = 0
Size = 823, freq = 0, total vertices = 0
Size = 824, freq = 0, total vertices = 0
Size = 825, freq = 0, total vertices = 0
Size = 826, freq = 0, total vertices = 0
Size = 827, freq = 0, total vertices = 0
Size = 828, freq = 0, total vertices = 0
Size = 829, freq = 0, total vertices = 0
Size = 830, freq = 0, total vertices = 0
Size = 831, freq = 0, total vertices = 0
Size = 832, freq = 0, total vertices = 0
Size = 833, freq = 0, total vertices = 0
Size = 834, freq = 0, total vertices = 0
Size = 835, freq = 0, total vertices = 0
Size = 836, freq = 0, total vertices = 0
Size = 837, freq = 0, total vertices = 0
Size = 838, freq = 0, total vertices = 0
Size = 839, freq = 0, total vertices = 0
Size = 840, freq = 0, total vertices = 0
Size = 841, freq = 0, total vertices = 0
Size = 842, freq = 0, total vertices = 0
Size = 843, freq = 0, total vertices = 0
Size = 844, freq = 0, total vertices = 0
Size = 845, freq = 0, total vertices = 0
Size = 846, freq = 0, total vertices = 0
Size = 847, freq = 0, total vertices = 0
Size = 848, freq = 0, total vertices = 0
Size = 849, freq = 1, total vertices = 849
